,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
443,0.8532341480255127,0.04677899668960387,0.03134284019470215,0.0002026386029302369,8,3,5,50,1000,"{'max_depth': 8, 'max_features': 3, 'min_samples_leaf': 5, 'min_samples_split': 50, 'n_estimators': 1000}",0.3853725117239428,0.35052203456589603,0.35449680562476804,0.4457943842155495,0.28382941788098026,0.3640030308022274,0.05262393750669181,665
444,0.0969313621520996,0.006217896869656846,0.012499570846557617,0.01530878544505413,8,3,10,5,100,"{'max_depth': 8, 'max_features': 3, 'min_samples_leaf': 10, 'min_samples_split': 5, 'n_estimators': 100}",0.38804814838585244,0.35546236099608175,0.3472452602157672,0.45997459068946667,0.279801033980032,0.36610627885344,0.058669126309476786,626
445,0.4688555717468262,0.02948892990713261,0.021873998641967773,0.007651385645637397,8,3,10,5,500,"{'max_depth': 8, 'max_features': 3, 'min_samples_leaf': 10, 'min_samples_split': 5, 'n_estimators': 500}",0.3904254677926252,0.36138988055941146,0.35597533693374506,0.457911106284697,0.2928415913850567,0.37170867659110707,0.05358210487686277,479
446,0.9188221454620361,0.02702338256543542,0.04061412811279297,0.007656199088286284,8,3,10,5,1000,"{'max_depth': 8, 'max_features': 3, 'min_samples_leaf': 10, 'min_samples_split': 5, 'n_estimators': 1000}",0.3932349095975134,0.3607863304109675,0.3555394476977112,0.45829799881110045,0.2920858955686648,0.37198891641719145,0.054187130621572765,474
447,0.10623774528503419,0.018222772661191763,0.0,0.0,8,3,10,10,100,"{'max_depth': 8, 'max_features': 3, 'min_samples_leaf': 10, 'min_samples_split': 10, 'n_estimators': 100}",0.38804814838585244,0.35546236099608175,0.3472452602157672,0.45997459068946667,0.279801033980032,0.36610627885344,0.058669126309476786,626
448,0.4836270809173584,0.032185627412754415,0.016087055206298828,0.0009234024146553445,8,3,10,10,500,"{'max_depth': 8, 'max_features': 3, 'min_samples_leaf': 10, 'min_samples_split': 10, 'n_estimators': 500}",0.3904254677926252,0.36138988055941146,0.35597533693374506,0.457911106284697,0.2928415913850567,0.37170867659110707,0.05358210487686277,479
449,0.9097274303436279,0.018090848428239457,0.04374537467956543,0.011692591129259529,8,3,10,10,1000,"{'max_depth': 8, 'max_features': 3, 'min_samples_leaf': 10, 'min_samples_split': 10, 'n_estimators': 1000}",0.3932349095975134,0.3607863304109675,0.3555394476977112,0.45829799881110045,0.2920858955686648,0.37198891641719145,0.054187130621572765,474
450,0.10628399848937989,0.02070066139208873,0.003124046325683594,0.006248092651367188,8,3,10,25,100,"{'max_depth': 8, 'max_features': 3, 'min_samples_leaf': 10, 'min_samples_split': 25, 'n_estimators': 100}",0.3805993918063997,0.3498991946864214,0.3556935045300488,0.46455470217612915,0.2844994245540482,0.3670492435506094,0.05818671769508738,625
451,0.4595700740814209,0.050291638362880954,0.01562495231628418,3.918777620564338e-06,8,3,10,25,500,"{'max_depth': 8, 'max_features': 3, 'min_samples_leaf': 10, 'min_samples_split': 25, 'n_estimators': 500}",0.39240188648095886,0.35664236246464087,0.35632811866631986,0.46098614503550994,0.28936538868912764,0.37114478026731146,0.05593041723071663,484
452,0.8969578266143798,0.07162558239278015,0.04068460464477539,0.007712249113478759,8,3,10,25,1000,"{'max_depth': 8, 'max_features': 3, 'min_samples_leaf': 10, 'min_samples_split': 25, 'n_estimators': 1000}",0.39301915696937606,0.35763598720304424,0.3576067027228542,0.45782635171332475,0.2919752501451952,0.3716126897507589,0.054082658997945426,481
